Rank,Universitas,Negara,Score
1Top 0.1%,Harvard University,USA,100
2Top 0.1%,Massachusetts Institute of Technology,USA,96.7
3Top 0.1%,Stanford University,USA,95.2
4Top 0.1%,University of Cambridge,United Kingdom,94.1
5Top 0.1%,University of Oxford,United Kingdom,93.3
6Top 0.1%,Princeton University,USA,92.6
7Top 0.1%,University of Chicago,USA,92.1
8Top 0.1%,Columbia University,USA,91.6
9Top 0.1%,University of Pennsylvania,USA,91.2
10Top 0.1%,Yale University,USA,90.8
11Top 0.1%,California Institute of Technology,USA,90.4
12Top 0.1%,"University of California, Berkeley",USA,90.1
13Top 0.1%,University of Tokyo,Japan,89.8
14Top 0.1%,Cornell University,USA,89.5
15Top 0.1%,Northwestern University,USA,89.3
16Top 0.1%,"University of Michigan, Ann Arbor",USA,89.1
17Top 0.1%,Johns Hopkins University,USA,88.8
18Top 0.1%,"University of California, Los Angeles",USA,88.6
19Top 0.1%,University College London,United Kingdom,88.4
20Top 0.1%,Duke University,USA,88.2
21Top 0.2%,PSL University,France,88.0
22Top 0.2%,University of Illinois at Urbana–Champaign,USA,87.9
23Top 0.2%,University of Toronto,Canada,87.7
24Top 0.2%,New York University,USA,87.5
25Top 0.2%,University of Washington,USA,87.4
26Top 0.2%,McGill University,Canada,87.2
27Top 0.2%,Kyoto University,Japan,87.1
28Top 0.2%,University of Wisconsin–Madison,USA,87.0
29Top 0.2%,Imperial College London,United Kingdom,86.8
30Top 0.2%,ETH Zurich,Switzerland,86.7
31Top 0.2%,Seoul National University,South Korea,86.6
32Top 0.2%,Paris-Saclay University,France,86.4
33Top 0.2%,"University of California, San Diego",USA,86.3
34Top 0.2%,University of Texas at Austin,USA,86.2
35Top 0.2%,University of Copenhagen,Denmark,86.1
36Top 0.2%,"University of California, San Francisco",USA,86.0
37Top 0.2%,University of North Carolina at Chapel Hill,USA,85.9
38Top 0.2%,Karolinska Institute,Sweden,85.8
39Top 0.2%,Paris City University,France,85.7
40Top 0.2%,King's College London,United Kingdom,85.6
41Top 0.2%,Sorbonne University,France,85.5
42Top 0.3%,Dartmouth College,USA,85.4
43Top 0.3%,Washington University in St. Louis,USA,85.3
44Top 0.3%,Tsinghua University,China,85.2
45Top 0.3%,Institut Polytechnique de Paris,France,85.1
46Top 0.3%,Ludwig Maximilian University of Munich,Germany,85.0
47Top 0.3%,University of Minnesota - Twin Cities,USA,84.9
48Top 0.3%,University of Edinburgh,United Kingdom,84.9
49Top 0.3%,Peking University,China,84.8
50Top 0.3%,University of Manchester,United Kingdom,84.7
51Top 0.3%,University of British Columbia,Canada,84.6
52Top 0.3%,"University of California, Davis",USA,84.5
53Top 0.3%,University of Southern California,USA,84.5
54Top 0.3%,Pennsylvania State University,USA,84.4
55Top 0.3%,University of Chinese Academy of Sciences,China,84.3
56Top 0.3%,Vanderbilt University,USA,84.2
57Top 0.3%,University of Melbourne,Australia,84.2
58Top 0.3%,Free University of Berlin,Germany,84.1
59Top 0.3%,Humboldt University of Berlin,Germany,84.0
60Top 0.3%,Ohio State University,USA,84.0
61Top 0.3%,Rockefeller University,USA,83.9
62Top 0.4%,Rutgers University,USA,83.8
63Top 0.4%,University of Zurich,Switzerland,83.8
64Top 0.4%,Brown University,USA,83.7
65Top 0.4%,Purdue University,USA,83.6
66Top 0.4%,University of Colorado Boulder,USA,83.6
67Top 0.4%,Georgia Institute of Technology,USA,83.5
68Top 0.4%,Heidelberg University,Germany,83.5
69Top 0.4%,"Texas A&M University, College Station",USA,83.4
70Top 0.4%,Hebrew University of Jerusalem,Israel,83.3
71Top 0.4%,University of Virginia,USA,83.3
72Top 0.4%,Utrecht University,Netherlands,83.2
73Top 0.4%,University of Texas Southwestern Medical Center,USA,83.2
74Top 0.4%,Shanghai Jiao Tong University,China,83.1
75Top 0.4%,University of Pittsburgh,USA,83.0
76Top 0.4%,University of Alberta,Canada,83.0
77Top 0.4%,Uppsala University,Sweden,82.9
78Top 0.4%,Technical University of Munich,Germany,82.9
79Top 0.4%,"University of Maryland, College Park",USA,82.8
80Top 0.4%,University of Amsterdam,Netherlands,82.8
81Top 0.4%,National University of Singapore,Singapore,82.7
82Top 0.4%,"University of California, Irvine",USA,82.7
83Top 0.5%,University of Oslo,Norway,82.6
84Top 0.5%,University of Birmingham,United Kingdom,82.6
85Top 0.5%,Zhejiang University,China,82.5
86Top 0.5%,University of Florida,USA,82.5
87Top 0.5%,Weizmann Institute of Science,Israel,82.4
88Top 0.5%,Leiden University,Netherlands,82.4
89Top 0.5%,Fudan University,China,82.3
90Top 0.5%,Boston University,USA,82.3
91Top 0.5%,University of Rochester,USA,82.2
92Top 0.5%,University of Sydney,Australia,82.2
93Top 0.5%,University of Bristol,United Kingdom,82.1
94Top 0.5%,Erasmus University Rotterdam,Netherlands,82.1
95Top 0.5%,University of Arizona,USA,82.1
96Top 0.5%,École Polytechnique Fédérale de Lausanne,Switzerland,82.0
97Top 0.5%,University of Göttingen,Germany,82.0
98Top 0.5%,"University of California, Santa Barbara",USA,81.9
99Top 0.5%,Carnegie Mellon University,USA,81.9
100Top 0.5%,Osaka University,Japan,81.8
101Top 0.5%,Aarhus University,Denmark,81.8
102Top 0.5%,National Taiwan University,Taiwan,81.8
103Top 0.6%,Keio University,Japan,81.7
104Top 0.6%,University of New South Wales,Australia,81.7
105Top 0.6%,University of Queensland,Australia,81.6
106Top 0.6%,University of Groningen,Netherlands,81.6
107Top 0.6%,KU Leuven,Belgium,81.6
108Top 0.6%,University of Leeds,United Kingdom,81.5
109Top 0.6%,University of São Paulo,Brazil,81.5
110Top 0.6%,University of Geneva,Switzerland,81.4
111Top 0.6%,University of Basel,Switzerland,81.4
112Top 0.6%,University of Texas MD Anderson Cancer Center,USA,81.4
113Top 0.6%,University of Tübingen,Germany,81.3
114Top 0.6%,Indiana University Bloomington,USA,81.3
115Top 0.6%,University of Bonn,Germany,81.2
116Top 0.6%,Sapienza University of Rome,Italy,81.2
117Top 0.6%,University of Utah,USA,81.2
118Top 0.6%,Nagoya University,Japan,81.1
119Top 0.6%,University of Science and Technology of China,China,81.1
120Top 0.6%,INSEAD,France,81.1
121Top 0.6%,Monash University,Australia,81.0
122Top 0.6%,University of Montreal,Canada,81.0
123Top 0.6%,Sun Yat-sen University,China,80.9
124Top 0.7%,Ghent University,Belgium,80.9
125Top 0.7%,University of Southampton,United Kingdom,80.9
126Top 0.7%,University of Helsinki,Finland,80.8
127Top 0.7%,Huazhong University of Science and Technology,China,80.8
128Top 0.7%,Australian National University,Australia,80.8
129Top 0.7%,University of Glasgow,United Kingdom,80.7
130Top 0.7%,University of Freiburg,Germany,80.7
131Top 0.7%,Emory University,USA,80.7
132Top 0.7%,Baylor College of Medicine,USA,80.6
133Top 0.7%,Nanyang Technological University,Singapore,80.6
134Top 0.7%,University of Barcelona,Spain,80.6
135Top 0.7%,University of Strasbourg,France,80.5
136Top 0.7%,University of Liverpool,United Kingdom,80.5
137Top 0.7%,University of Bern,Switzerland,80.5
138Top 0.7%,Goethe University Frankfurt,Germany,80.4
139Top 0.7%,University of Nottingham,United Kingdom,80.4
140Top 0.7%,KTH Royal Institute of Technology,Sweden,80.4
141Top 0.7%,Lund University,Sweden,80.3
142Top 0.7%,Case Western Reserve University,USA,80.3
143Top 0.7%,Tohoku University,Japan,80.3
144Top 0.8%,University of Colorado Anschutz Medical Campus,USA,80.3
145Top 0.8%,University of Iowa,USA,80.2
146Top 0.8%,Stockholm University,Sweden,80.2
147Top 0.8%,Nanjing University,China,80.2
148Top 0.8%,VU Amsterdam,Netherlands,80.1
149Top 0.8%,Grenoble Alpes University,France,80.1
150Top 0.8%,University of Western Australia,Australia,80.1
151Top 0.8%,Michigan State University,USA,80.0
152Top 0.8%,University of Sheffield,United Kingdom,80.0
153Top 0.8%,Tufts University,USA,80.0
154Top 0.8%,Tel Aviv University,Israel,80.0
155Top 0.8%,Queen Mary University of London,United Kingdom,79.9
156Top 0.8%,Cardiff University,United Kingdom,79.9
157Top 0.8%,Aix-Marseille University,France,79.9
158Top 0.8%,University of Hong Kong,China,79.8
159Top 0.8%,Korea University,South Korea,79.8
160Top 0.8%,Yonsei University,South Korea,79.8
161Top 0.8%,Radboud University,Netherlands,79.8
162Top 0.8%,Newcastle University,United Kingdom,79.7
163Top 0.8%,Xi'an Jiaotong University,China,79.7
164Top 0.8%,Icahn School of Medicine at Mount Sinai,USA,79.7
165Top 0.9%,Tokyo Institute of Technology,Japan,79.6
